Connections, minTime, maxTime, average
 36480,     7.119,   1792.937,    325.415
 36672,     7.349,   3629.282,    217.723
 36864,     7.620,   3655.896,    319.544
 37056,     6.660,    938.154,    323.084
 37248,     7.306,   1833.544,    232.736
 37440,     6.509,   3592.724,    466.339
 37632,     6.522,   7150.124,    297.861
 37824,    10.737,   7194.720,    509.632
 38016,     6.696,    936.049,    279.730
 38208,     6.734,   1838.098,    304.056
 38400,    10.174,   1818.857,    260.510
 38592,     6.758,   1830.287,    399.810
 38784,     7.487,   7241.077,    467.242
 38976,     6.959,   3630.281,    322.190
 39168,     7.588,   3613.211,    409.168
 39360,     8.228,   1795.964,    303.918
 39552,     7.390,   3643.092,    228.773
 39744,     7.235,   1848.670,    522.541
 39936,     8.277,   1810.903,    276.352
 40128,     8.084,    942.767,    237.684
 40320,     6.981,   1811.350,    232.258
 40512,     6.993,   1827.311,    296.935
 40704,     8.622,   3589.564,    510.535
 40896,     7.114,   3674.094,    254.684
 41088,     8.436,   1798.461,    287.078
 41280,     8.182,    923.689,    205.672
 41472,     8.372,   3589.613,    469.946
 41664,     7.383,   3633.964,    280.552
 41856,     7.234,   1823.786,    355.539
 42048,     8.529,   3576.798,    449.137
 42240,     7.632,   3641.196,    313.542
 42432,    10.122,   1830.138,    438.298
 42624,     7.604,   1802.831,    298.618
 42816,     7.411,   1827.580,    333.947
 43008,     8.756,   1831.353,    418.683
 43200,     7.881,   1794.390,    334.835
 43392,     9.404,   3650.556,    325.864
 43584,     9.296,   1834.441,    297.459
 43776,     8.321,   3628.511,    404.997
 43968,     7.739,   3593.295,    316.750
 44160,     7.699,   3633.387,    342.850
 44352,     7.937,   3660.105,    320.134
 44544,     9.021,   3623.605,    295.841
 44736,     7.704,   1848.791,    265.755
 44928,     7.488,   3628.656,    300.758
 45120,     9.326,   3652.772,    425.307
 45312,     9.217,   3653.908,    308.864
 45504,     9.479,   1835.710,    314.723
 45696,
