Connections, minTime, maxTime, average
   996,     1.660,   2806.769,     34.340
  1992,     1.121,   2803.118,     68.025
  2988,     1.471,   3201.369,     66.042
  3984,     1.331,   2759.470,     64.004
  4980,     1.591,   3198.904,     62.937
  5976,     1.693,   2811.470,     81.600
  6972,     2.173,   3194.243,    101.210
  7968,     2.419,   4747.722,    115.030
  8964,     2.895,   3453.435,    133.188
  9960,     3.092,   3083.794,    103.955
 10956,     3.346,   3197.249,    117.713
 11952,     3.864,   3183.619,    122.230
