Connections, minTime, maxTime, average
 83262,    36.031,   1303.993,    229.332
 83760,    64.563,    545.649,    191.498
 84258,    73.347,    449.975,    183.241
 84756,    37.294,    345.535,    198.834
 85254,    43.830,    731.745,    224.382
 85752,    37.357,    782.671,    202.206
 86250,    38.049,    696.441,    240.107
 86748,    37.982,    773.990,    202.937
 87246,    38.225,    711.658,    243.916
 87744,    38.743,    893.163,    207.908
 88242,    38.541,    365.169,    247.067
 88740,    38.933,    780.389,    208.608
 89238,    39.324,    783.243,    254.665
 89736,    39.629,    781.381,    212.847
 90234,    39.587,    813.566,    252.044
 90732,    40.705,    825.038,    220.917
 91230,    39.918,    377.890,    267.561
 91728,    40.894,    851.159,    222.098
 92226,    41.548,    873.586,    261.537
 92724,    40.987,    890.548,    222.461
 93222,    42.754,    408.491,    260.115
 93720,    42.096,    862.148,    221.074
 94218,    42.241,    869.933,    267.568
 94716,    42.214,    730.899,    219.089
 95214,    42.428,    746.166,    267.666
 95712,    43.289,    407.953,    218.600
 96210,    42.791,    694.256,    259.835
 96708,    42.966,    689.459,    216.248
 97206,    43.007,    703.489,    265.676
 97704,    43.493,    433.361,    220.558
 98202,    44.557,    686.734,    263.383
 98700,    40.877,    732.914,    213.415
 99198,    45.594,    665.608,    257.357
 99696,    44.804,    694.842,    225.846
100194,    49.441,   1794.978,    432.908
100692,    46.001,    456.418,    222.267
101190,    45.296,    720.321,    276.534
101688,    46.381,    723.190,    226.991
102186,    42.339,    864.776,    263.586
102684,    45.261,   1307.759,    250.659
103182,    42.840,    746.297,    262.486
103680,    45.839,    710.988,    232.972
104178,    48.155,    467.622,    266.012
104676,    52.637,    661.433,    202.784
105174,    43.353,    666.787,    253.200
105672,    47.469,    683.383,    228.931
106170,    49.509,   1177.920,    313.128
106668,    69.096,   6359.468,    219.289
107166,    46.912,    696.954,    283.817
107664,    47.713,   1297.897,    264.731
108162,    44.537,   1291.528,    301.367
108660,    48.602,    561.648,    237.688
109158,    48.660,   1300.814,    325.184
109656,    50.514,   2000.985,    257.342
110154,
