Connections, minTime, maxTime, average
   996,     0.330,    200.980,      4.169
  1992,     0.587,    203.955,      9.905
  2988,     0.958,    407.259,     26.299
  3984,     1.206,    409.081,     41.210
  4980,     1.101,    607.870,     71.754
  5976,     1.551,    807.904,    113.088
  6972,     1.932,    817.769,    119.667
  7968,     2.513,    418.412,     45.355
  8964,     2.494,    420.425,     98.830
  9960,     2.808,   1659.962,    140.856
 10956,     3.098,    423.567,     86.536
 11952,     3.522,    418.158,     58.597
 12948,     3.876,    421.993,     58.139
 13944,     4.073,    614.968,    101.845
 14940,     4.568,    441.590,    125.114
 15936,     4.448,    857.593,    134.411
 16932,     5.162,    853.222,     61.385
 17928,     4.914,    623.514,    139.077
 18924,     5.576,    442.172,     90.968
 19920,     5.716,    447.397,     92.022
 20916,     6.070,    442.188,     62.648
 21912,     6.501,    633.266,    104.353
 22908,     6.862,    896.499,     98.156
 23904,     6.963,    450.371,    101.905
 24900,     7.261,    454.045,    153.875
 25896,     7.901,    620.742,    108.730
 26892,     8.796,    460.237,    113.078
 27888,     8.381,    900.845,    158.798
 28884,     8.598,    645.845,    132.319
 29880,     9.361,    916.368,    210.182
 30876,     8.815,    893.425,    134.287
 31872,    10.359,    915.435,    175.335
 32868,    10.725,    929.683,    145.798
 33864,    10.140,   1542.745,    150.813
 34860,     9.909,    480.795,    178.479
 35856,    10.582,    924.332,    174.248
 36852,    11.545,    925.290,    212.173
 37848,    11.504,    911.265,    165.619
 38844,    11.050,    917.399,    188.471
 39840,    12.269,    921.345,    208.976
 40836,    12.690,   1834.632,    186.988
 41832,    11.354,    917.393,    195.962
 42828,    13.374,    657.275,    142.757
 43824,    13.684,    915.187,    179.874
 44820,    10.563,    933.654,    256.268
 45816,    13.972,    663.410,    170.075
 46812,    13.653,    932.675,    182.498
 47808,    10.723,    934.814,    198.616
 48804,    14.317,   1842.805,    241.917
 49800,    15.098,    682.053,    161.173
 50796,    12.504,    941.589,    211.272
 51792,    15.334,    945.880,    219.106
 52788,    15.460,   3671.102,    346.148
 53784,    15.476,   3653.580,    224.274
 54780,    16.532,   3652.923,    229.804
 55776,    15.415,   1816.081,    319.985
 56772,    12.364,    928.784,    211.746
 57768,    17.106,    675.710,    183.993
 58764,    16.589,    937.199,    238.588
 59760,    17.763,   1873.946,    345.317
 60756,    17.910,    942.448,    262.049
 61752,    14.188,    941.586,    287.473
 62748,    14.838,    941.225,    239.249
 63744,    17.069,   1826.855,    291.115
 64740,    13.879,    950.139,    255.762
 65736,    15.172,    946.128,    194.000
 66732,    18.962,    944.557,    260.845
 67728,    20.868,   3656.010,    311.596
 68724,    19.140,   1843.729,    318.034
 69720,    17.932,   1804.213,    255.456
 70716,    19.747,    958.785,    254.860
 71712,    19.322,   1870.882,    331.819
 72708,    22.801,   3684.969,    321.264
 73704,    18.251,   1805.344,    279.581
 74700,    20.334,   1805.846,    221.849
 75696,    22.300,   3760.199,    342.388
 76692,    23.224,   3673.012,    296.748
 77688,    20.016,    954.193,    223.082
 78684,    20.133,   3656.561,    341.299
 79680,    25.435,   1894.173,    226.419
 80676,    24.536,   1850.284,    304.230
 81672,    21.036,   1851.521,    370.648
 82668,    23.972,   1843.541,    337.725
 83664,    24.677,   1803.939,    343.582
 84660,    27.121,   1879.138,    312.434
 85656,    20.402,   3576.937,    290.201
 86652,    25.697,   1818.954,    361.990
 87648,    27.443,   3625.310,    283.631
 88644,    28.275,   1847.776,    251.668
 89640,    24.294,   3668.699,    415.436
 90636,    26.806,   3576.844,    281.868
 91632,    27.221,   1817.748,    255.597
 92628,    24.277,    940.891,    274.124
 93624,    24.619,   3348.111,    326.892
 94620,    24.580,   3593.378,    430.529
 95616,    27.494,   1771.084,    318.047
 96612,    25.171,    968.817,    203.146
 97608,    26.744,   3645.438,    348.047
 98604,    27.965,   3591.822,    336.774
 99600,    28.526,   3664.902,    282.305
100596,    24.184,   3604.517,    394.892
101592,    28.238,    944.252,    285.767
102588,    27.187,   3513.295,    379.443
103584,    29.051,   1871.564,    334.471
104580,    25.270,   6992.071,    350.723
105576,    30.815,   1986.356,    429.459
106572,    28.081,   3623.721,    353.788
107568,    29.134,   7088.631,    362.313
108564,    26.617,   3797.904,    325.242
109560,    21.326,   3339.040,    423.725
110556,
